Date,MSFT,F,BAC
1/23/2008,31.93,6.3,40.57
1/24/2008,33.25,6.26,39.900002
1/25/2008,32.939999,6.58,39.48
1/28/2008,32.720001,6.67,41.200001
1/29/2008,32.599998,6.69,41.939999
1/30/2008,32.200001,6.75,42.209999
1/31/2008,32.599998,6.64,44.150002
2/1/2008,30.450001,6.85,45.029999
2/4/2008,30.190001,6.68,44.029999
2/5/2008,29.07,6.43,42.369999
2/6/2008,28.52,6.31,42.330002
2/7/2008,28.120001,6.17,43.369999
2/8/2008,28.559999,6.08,42.16
2/11/2008,28.209999,6.39,42.139999
2/12/2008,28.34,6.46,42.82
2/13/2008,28.959999,6.58,43.330002
2/14/2008,28.5,6.46,42.240002
2/15/2008,28.42,6.45,42.700001
2/19/2008,28.17,6.48,42.669998
2/20/2008,28.219999,6.41,42.970001
2/21/2008,28.1,6.23,42.209999
2/22/2008,27.68,6.25,42.599998
2/25/2008,27.84,6.46,42.939999
2/26/2008,28.379999,6.52,42.720001
2/27/2008,28.26,6.6,42.880001
2/28/2008,27.93,6.62,41.419998
2/29/2008,27.200001,6.53,39.740002
3/3/2008,26.99,6.18,39.18
3/4/2008,27.59,6.13,38.779999
3/5/2008,28.120001,6.12,37.549999
3/6/2008,27.57,5.94,36.52
3/7/2008,27.870001,5.78,36.740002
3/10/2008,28.049999,5.6,35.310001
3/11/2008,29.280001,5.9,37.720001
3/12/2008,28.629999,5.7,37.029999
3/13/2008,28.620001,5.39,37.139999
3/14/2008,27.959999,5.29,35.689999
3/17/2008,28.299999,5.11,35.959999
3/18/2008,29.42,5.29,38.93
3/19/2008,28.620001,5.45,38.560001
3/20/2008,29.18,5.62,41.860001
3/24/2008,29.17,5.96,42.450001
3/25/2008,29.139999,6,40.970001
3/26/2008,28.559999,5.87,39.84
3/27/2008,28.049999,5.83,38.639999
3/28/2008,27.91,5.59,38.07
3/31/2008,28.379999,5.72,37.91
4/1/2008,29.5,5.97,40.860001
4/2/2008,29.16,6.13,40.299999
4/3/2008,29,6.46,40.369999
4/4/2008,29.16,6.49,39.41
4/7/2008,29.16,6.73,39.5
4/8/2008,28.75,6.91,38.380001
4/9/2008,28.889999,6.72,37.93
4/10/2008,29.110001,6.74,37.689999
4/11/2008,28.280001,6.69,36.939999
4/14/2008,28.059999,6.78,35.580002
4/15/2008,28.25,6.88,35.580002
4/16/2008,28.950001,7.19,36.98
4/17/2008,29.219999,7.26,37.470001
4/18/2008,30,7.45,38.560001
4/21/2008,30.42,7.73,37.610001
4/22/2008,30.25,7.65,37
4/23/2008,31.450001,7.52,36.860001
4/24/2008,31.799999,8.4,37.869999
4/25/2008,29.83,7.5,38.299999
4/28/2008,28.99,8.21,38.18
4/29/2008,28.639999,8.12,37.860001
4/30/2008,28.52,8.26,37.540001
5/1/2008,29.4,8.48,39.389999
5/2/2008,29.24,8.27,39.790001
5/5/2008,29.08,8.33,38.970001
5/6/2008,29.700001,8.27,39.240002
5/7/2008,29.209999,7.96,38
5/8/2008,29.27,8.2,37.330002
5/9/2008,29.389999,8.1,36.650002
5/12/2008,29.99,8.15,37.439999
5/13/2008,29.780001,8.23,36.610001
5/14/2008,29.93,8.14,36.799999
5/15/2008,30.450001,8.17,36.709999
5/16/2008,29.99,8.11,36.169998
5/19/2008,29.459999,8.02,36.099998
5/20/2008,28.76,8,35.389999
5/21/2008,28.25,7.8,34.630001
5/22/2008,28.469999,7.16,34.73
5/23/2008,28.049999,6.87,33.93
5/27/2008,28.440001,6.8,34.169998
5/28/2008,28.18,6.78,33.869999
5/29/2008,28.309999,6.71,34.599998
5/30/2008,28.32,6.8,34.009998
6/2/2008,27.799999,6.64,33.580002
6/3/2008,27.309999,6.68,33.310001
6/4/2008,27.540001,6.46,31.99
6/5/2008,28.299999,6.4,31.99
6/6/2008,27.49,6.04,30.5
6/9/2008,27.709999,6.36,29.610001
6/10/2008,27.889999,6.12,29.620001
6/11/2008,27.120001,5.97,28.85
6/12/2008,28.24,6,29.440001
6/13/2008,29.07,6.27,29.780001
6/16/2008,28.93,6.5,30.32
6/17/2008,28.799999,6.6,29.24
6/18/2008,28.459999,6.22,28.370001
6/19/2008,28.93,6.32,28.139999
6/20/2008,28.23,5.81,27.1
6/23/2008,27.969999,5.28,25.879999
6/24/2008,27.73,5.32,26.620001
6/25/2008,28.35,5.24,26.610001
6/26/2008,27.75,5.07,24.809999
6/27/2008,27.629999,4.98,24.59
6/30/2008,27.51,4.81,23.870001
7/1/2008,26.870001,4.71,23.809999
7/2/2008,25.879999,4.36,22.540001
7/3/2008,25.98,4.42,22.4
7/7/2008,26.030001,4.47,21.530001
7/8/2008,25.85,4.9,23.540001
7/9/2008,25.23,4.95,22.059999
7/10/2008,25.450001,4.58,22.360001
7/11/2008,25.25,4.86,21.67
7/14/2008,25.15,4.66,20.15
7/15/2008,26.15,4.65,18.52
7/16/2008,27.26,5.49,22.67
7/17/2008,27.52,5.49,26.5
7/18/2008,25.860001,5.44,27.49
7/21/2008,25.639999,5.48,28.559999
7/22/2008,25.799999,5.84,32.349998
7/23/2008,26.43,6.03,33.439999
7/24/2008,25.440001,5.11,30.639999
7/25/2008,26.16,5.05,29.58
7/28/2008,25.5,4.75,28.059999
7/29/2008,26.110001,5.02,32.220001
7/30/2008,26.23,4.84,33.610001
7/31/2008,25.719999,4.8,32.900002
8/1/2008,25.440001,4.65,33.330002
8/4/2008,25.280001,4.81,32.619999
8/5/2008,26.209999,5.09,33.580002
8/6/2008,27.02,4.94,33.450001
8/7/2008,27.389999,4.86,31.52
8/8/2008,28.129999,5.26,32.25
8/11/2008,27.9,5.16,33.380001
8/12/2008,28.120001,5.19,31.129999
8/13/2008,27.91,4.88,28.860001
8/14/2008,27.91,5.1,30.18
8/15/2008,27.809999,5.11,30.700001
8/18/2008,27.690001,4.89,29.299999
8/19/2008,27.32,4.72,28.08
8/20/2008,27.290001,4.61,29.290001
8/21/2008,27.18,4.42,29.040001
8/22/2008,27.84,4.47,30.209999
8/25/2008,27.66,4.41,28.959999
8/26/2008,27.27,4.35,29.02
8/27/2008,27.559999,4.26,29.65
8/28/2008,27.940001,4.43,31.43
8/29/2008,27.290001,4.46,31.139999
9/2/2008,27.1,4.51,32.630001
9/3/2008,26.9,4.57,32.959999
9/4/2008,26.35,4.39,30.6
9/5/2008,25.65,4.41,32.23
9/8/2008,26.120001,4.55,34.73
9/9/2008,26.1,4.4,32.52
9/10/2008,26.440001,4.47,32.400002
9/11/2008,27.34,4.68,33.060001
9/12/2008,27.620001,4.91,33.740002
9/15/2008,26.82,4.74,26.549999
9/16/2008,25.99,5.07,29.549999
9/17/2008,24.57,4.94,27.200001
9/18/2008,25.26,5.28,30.58
9/19/2008,25.16,5.29,37.48
9/22/2008,25.4,4.95,34.150002
9/23/2008,25.440001,4.86,33.299999
9/24/2008,25.719999,5.03,33.07
9/25/2008,26.610001,4.98,34.369999
9/26/2008,27.4,4.81,36.700001
9/29/2008,25.01,4.17,30.25
9/30/2008,26.690001,5.2,35
10/1/2008,26.48,4.55,38.130001
10/2/2008,26.25,4.35,36.369999
10/3/2008,26.32,4.05,34.48
10/6/2008,24.91,3.69,32.220001
10/7/2008,23.23,2.92,23.77
10/8/2008,23.01,2.66,22.1
10/9/2008,22.299999,2.08,19.629999
10/10/2008,21.5,1.99,20.870001
10/13/2008,25.5,2.39,22.790001
10/14/2008,24.1,2.45,26.530001
10/15/2008,22.66,2.3,23.82
10/16/2008,24.190001,2.27,24.25
10/17/2008,23.93,2.43,23.24
10/20/2008,24.719999,2.33,24.4
10/21/2008,23.360001,2.17,23.969999
10/22/2008,21.530001,2.1,22.66
10/23/2008,22.32,2,23
10/24/2008,21.959999,2.01,21.07
10/27/2008,21.18,2.03,20.530001
10/28/2008,23.1,2.15,23.02
10/29/2008,23,2.16,22.32
10/30/2008,22.629999,2.28,22.780001
10/31/2008,22.33,2.19,24.17
11/3/2008,22.620001,2.13,23.610001
11/4/2008,23.530001,2.16,24.530001
11/5/2008,22.08,2.09,21.75
11/6/2008,20.879999,1.98,20.120001
11/7/2008,21.5,2.02,20.49
11/10/2008,21.299999,1.93,19.48
11/11/2008,21.200001,1.8,18.690001
11/12/2008,20.299999,1.84,17
11/13/2008,21.25,1.9,17.1
11/14/2008,20.059999,1.8,16.42
11/17/2008,19.32,1.72,15.03
11/18/2008,19.620001,1.68,15.19
11/19/2008,18.290001,1.26,13.06
11/20/2008,17.530001,1.39,11.25
11/21/2008,19.68,1.43,11.47
11/24/2008,20.690001,1.56,14.59
11/25/2008,19.99,1.66,14.8
11/26/2008,20.49,2.15,15.43
11/28/2008,20.219999,2.69,16.25
12/1/2008,18.610001,2.55,12.85
12/2/2008,19.15,2.7,14.37
12/3/2008,19.870001,2.85,15.05
12/4/2008,19.110001,2.66,14.34
12/5/2008,19.870001,2.72,15.24
12/8/2008,21.01,3.38,17.84
12/9/2008,20.6,3.23,16.950001
12/10/2008,20.610001,3.25,16.690001
12/11/2008,19.450001,2.9,14.91
12/12/2008,19.360001,3.04,14.93
12/15/2008,19.040001,3.18,14.11
12/16/2008,20.110001,3.13,15.1
12/17/2008,19.66,3.14,14.62
12/18/2008,19.299999,2.84,13.96
12/19/2008,19.120001,2.95,13.8
12/22/2008,19.18,2.59,13.53
12/23/2008,19.280001,2.19,12.75
12/24/2008,19.17,2.11,13.53
12/26/2008,19.129999,2.29,13.36
12/29/2008,18.959999,2.22,12.94
12/30/2008,19.34,2.29,13.24
12/31/2008,19.440001,2.29,14.08
1/2/2009,20.33,2.46,14.33
1/5/2009,20.52,2.58,13.98
1/6/2009,20.76,2.76,14.28
1/7/2009,19.51,2.69,13.71
1/8/2009,20.120001,2.69,13.54
1/9/2009,19.52,2.63,12.99
1/12/2009,19.469999,2.64,11.43
1/13/2009,19.82,2.48,10.65
1/14/2009,19.09,2.26,10.2
1/15/2009,19.24,2.23,8.32
1/16/2009,19.709999,2.19,7.18
1/20/2009,18.48,2.13,5.1
1/21/2009,19.379999,2.09,6.68
1/22/2009,17.110001,1.94,5.71
1/23/2009,17.200001,1.8,6.24
1/26/2009,17.629999,1.94,6
1/27/2009,17.66,1.97,6.5
1/28/2009,18.040001,2.03,7.39
1/29/2009,17.59,1.95,6.78
1/30/2009,17.1,1.87,6.58
2/2/2009,17.83,1.88,6
2/3/2009,18.5,1.96,5.3
2/4/2009,18.629999,1.95,4.7
2/5/2009,19.040001,1.93,4.84
2/6/2009,19.66,1.94,6.13
2/9/2009,19.440001,1.9,6.89
2/10/2009,18.799999,1.82,5.56
2/11/2009,19.209999,1.85,6.07
2/12/2009,19.26,1.79,5.87
2/13/2009,19.09,1.76,5.57
2/17/2009,18.09,1.69,4.9
2/18/2009,18.120001,1.67,4.57
2/19/2009,17.91,1.63,3.93
2/20/2009,18,1.58,3.79
2/23/2009,17.209999,1.73,3.91
2/24/2009,17.17,2,4.73
2/25/2009,16.959999,2.01,5.16
2/26/2009,16.42,1.98,5.32
2/27/2009,16.15,2,3.95
3/2/2009,15.79,1.88,3.63
3/3/2009,15.88,1.81,3.65
3/4/2009,16.120001,1.87,3.59
3/5/2009,15.27,1.81,3.17
3/6/2009,15.28,1.7,3.14
3/9/2009,15.15,1.74,3.75
3/10/2009,16.48,1.85,4.79
3/11/2009,17.110001,1.96,4.93
3/12/2009,17.01,2.1,5.85
3/13/2009,16.65,2.19,5.76
3/16/2009,16.25,2.1,6.18
3/17/2009,16.9,2.28,6.27
3/18/2009,16.959999,2.47,7.67
3/19/2009,17.139999,2.51,6.93
3/20/2009,17.059999,2.75,6.19
3/23/2009,18.33,2.9,7.8
3/24/2009,17.93,2.86,7.22
3/25/2009,17.879999,2.77,7.7
3/26/2009,18.83,2.94,7.58
3/27/2009,18.129999,2.84,7.34
3/30/2009,17.48,2.76,6.03
3/31/2009,18.370001,2.63,6.82
4/1/2009,19.309999,2.74,7.05
4/2/2009,19.290001,2.91,7.24
4/3/2009,18.75,3.25,7.6
4/6/2009,18.76,3.77,7.48
4/7/2009,18.76,3.49,7.36
4/8/2009,19.190001,3.95,7.06
4/9/2009,19.67,4.24,9.55
4/13/2009,19.59,4.26,11.02
4/14/2009,19.35,4.3,10.09
4/15/2009,18.83,4.04,10.44
4/16/2009,19.76,4.16,10.34
4/17/2009,19.200001,4,10.6
4/20/2009,18.610001,3.69,8.02
4/21/2009,18.969999,3.8,8.76
4/22/2009,18.780001,4.28,8.26
4/23/2009,18.92,4.49,8.82
4/24/2009,20.91,5,9.1
4/27/2009,20.4,5.11,8.92
4/28/2009,19.93,5.19,8.15
4/29/2009,20.25,5.45,8.68
4/30/2009,20.26,5.98,8.93
5/1/2009,20.24,5.69,8.7
5/4/2009,20.190001,5.88,10.38
5/5/2009,19.790001,5.85,10.84
5/6/2009,19.790001,6.26,12.69
5/7/2009,19.32,6.06,13.51
5/8/2009,19.42,6.24,14.17
5/11/2009,19.32,6.08,12.94
5/12/2009,19.889999,5.01,12.26
5/13/2009,19.75,4.96,11.01
5/14/2009,20.059999,5.16,11.31
5/15/2009,20.219999,5.49,10.67
5/18/2009,20.6,5.5,11.73
5/19/2009,20.309999,5.63,11.25
5/20/2009,20.379999,5.41,11.49
5/21/2009,19.82,5.33,11.41
5/22/2009,19.75,5.26,11.07
5/26/2009,20.34,5.4,10.98
5/27/2009,20.129999,5.34,10.91
5/28/2009,20.450001,5.56,11.3
5/29/2009,20.889999,5.75,11.27
6/1/2009,21.4,6.13,11.21
6/2/2009,21.4,6.41,11.41
6/3/2009,21.73,6.18,11.21
6/4/2009,21.83,6.36,11.87
6/5/2009,22.139999,6.36,11.86
6/8/2009,22.049999,6.38,12.06
6/9/2009,22.08,6.26,12.06
6/10/2009,22.549999,6.19,11.98
6/11/2009,22.83,5.98,12.97
6/12/2009,23.33,6.11,13.72
6/15/2009,23.42,5.93,13.33
6/16/2009,23.450001,5.67,12.73
6/17/2009,23.68,5.71,12.3
6/18/2009,23.5,5.68,12.9
6/19/2009,24.07,5.72,13.22
6/22/2009,23.280001,5.38,11.94
6/23/2009,23.34,5.53,12.23
6/24/2009,23.469999,5.63,12.35
6/25/2009,23.790001,5.68,12.35
6/26/2009,23.35,5.61,12.75
6/29/2009,23.860001,5.78,13.19
6/30/2009,23.77,6.07,13.2
7/1/2009,24.040001,5.91,13.05
7/2/2009,23.370001,5.89,12.64
7/6/2009,23.200001,5.75,12.15
7/7/2009,22.530001,5.53,12.15
7/8/2009,22.559999,5.35,11.84
7/9/2009,22.440001,5.63,11.97
7/10/2009,22.389999,5.72,11.88
7/13/2009,23.23,5.69,12.99
7/14/2009,23.110001,5.84,12.91
7/15/2009,24.120001,6.05,13.42
7/16/2009,24.440001,6.13,13.17
7/17/2009,24.290001,6.14,12.89
7/20/2009,24.530001,6.19,12.24
7/21/2009,24.83,6.2,12.19
7/22/2009,24.799999,6.38,12.23
7/23/2009,25.559999,6.98,12.69
7/24/2009,23.450001,6.78,12.51
7/27/2009,23.110001,7.27,13.09
7/28/2009,23.469999,7.14,13.34
7/29/2009,23.799999,7.12,13.52
7/30/2009,23.809999,7.39,13.97
7/31/2009,23.52,8,14.79
8/3/2009,23.83,8.33,15.32
8/4/2009,23.77,8.3,15.64
8/5/2009,23.809999,8.44,16.66
8/6/2009,23.459999,8.07,16.700001
8/7/2009,23.559999,8.01,16.42
8/10/2009,23.42,7.72,16.68
8/11/2009,23.129999,7.81,15.85
8/12/2009,23.530001,7.7,15.93
8/13/2009,23.620001,7.9,17
8/14/2009,23.690001,7.83,17.389999
8/17/2009,23.25,7.37,16.559999
8/18/2009,23.58,7.64,16.9
8/19/2009,23.65,7.65,16.75
8/20/2009,23.67,7.68,17.139999
8/21/2009,24.41,7.74,17.459999
8/24/2009,24.639999,7.41,17.35
8/25/2009,24.639999,7.59,17.75
8/26/2009,24.549999,7.61,17.790001
8/27/2009,24.690001,7.67,17.92
8/28/2009,24.68,7.73,17.98
8/31/2009,24.65,7.6,17.59
9/1/2009,24,7.24,16.459999
9/2/2009,23.860001,7.03,16.27
9/3/2009,24.110001,7.48,16.84
9/4/2009,24.620001,7.43,17.09
9/8/2009,24.82,7.3,17.02
9/9/2009,24.780001,7.39,17.040001
9/10/2009,25,7.44,17.219999
9/11/2009,24.860001,7.33,16.969999
9/14/2009,25,7.39,16.99
9/15/2009,25.200001,7.2,16.790001
9/16/2009,25.200001,7.15,17.25
9/17/2009,25.299999,6.92,17.610001
9/18/2009,25.26,6.94,17.629999
9/21/2009,25.299999,6.83,17.25
9/22/2009,25.77,7.01,17.610001
9/23/2009,25.709999,7.36,17.5
9/24/2009,25.940001,7.33,16.98
9/25/2009,25.549999,7.29,16.6
9/28/2009,25.83,7.49,17.219999
9/29/2009,25.75,7.45,17.16
9/30/2009,25.719999,7.21,16.92
10/1/2009,24.879999,6.97,16.209999
10/2/2009,24.959999,6.84,16.34
10/5/2009,24.639999,7.05,16.959999
10/6/2009,25.110001,7.14,17
10/7/2009,25.1,7.13,17.35
10/8/2009,25.67,7.18,17.33
10/9/2009,25.549999,7.12,17.5
10/12/2009,25.719999,7.62,18.030001
10/13/2009,25.809999,7.62,17.809999
